condition,metric,n,mean_bias,std_bias,median_bias
E2,TG,48,-0.6042,0.881,-0.5
E2,HF,48,-0.3646,0.9933,0.0
E2,CC,48,0.1875,1.2318,0.5
E2,CP,48,0.1354,0.5719,0.0
E2,Cn,48,0.2917,0.626,0.0
E2,S,48,-0.3854,0.8267,-0.5
E2,LD,48,-0.6354,1.2663,-0.5
E2,IF,48,-0.2708,0.627,0.0
E2,LC,48,0.1771,0.5408,0.0
E3,TG,48,-0.7396,0.7989,-0.5
E3,HF,48,0.0208,0.3567,0.0
E3,CC,48,0.1354,1.1192,0.25
E3,CP,48,0.0521,0.2361,0.0
E3,Cn,48,0.0938,0.2661,0.0
E3,S,48,-0.4062,0.8357,-0.5
E3,LD,48,-0.7083,1.2793,-1.0
E3,IF,48,-0.1146,0.5577,0.0
E3,LC,48,0.1562,0.6028,0.0
E4,TG,48,-0.4062,0.6159,-0.5
E4,HF,48,0.125,0.4061,0.0
E4,CC,48,-0.2604,1.3952,0.0
E4,CP,48,0.0312,0.2398,0.0
E4,Cn,48,0.1875,0.4205,0.0
E4,S,48,-0.0104,0.6315,0.0
E4,LD,48,-0.1875,0.9029,0.0
E4,IF,48,-0.125,0.7473,0.0
E4,LC,48,0.2917,0.8982,0.0
E5,TG,48,-0.125,0.6482,0.0
E5,HF,48,0.5521,1.3138,0.0
E5,CC,48,0.4479,1.4485,0.75
E5,CP,48,0.3021,0.9438,0.0
E5,Cn,48,0.1146,0.3608,0.0
E5,S,48,0.6562,0.7007,0.5
E5,LD,48,0.2396,0.973,0.0
E5,IF,48,-0.25,1.4292,-0.25
E5,LC,48,-0.4271,1.4659,-0.25
