annotator_pair,metric,n_pairs,kappa_linear,ann1_mean,ann2_mean,mean_diff_abs
carmen_leticia,TG,64,0.149,3.594,4.656,1.156
carmen_leticia,HF,64,0.491,4.609,4.703,0.312
carmen_leticia,CC,64,0.086,3.797,4.578,1.031
carmen_leticia,CP,64,0.332,4.828,4.766,0.25
carmen_leticia,Cn,64,0.331,4.266,4.766,0.562
carmen_leticia,S,64,0.021,3.266,4.703,1.562
carmen_leticia,LD,64,0.085,3.172,4.609,1.594
carmen_leticia,IF,64,0.226,4.781,4.891,0.234
carmen_leticia,LC,64,0.29,4.469,4.641,0.516
carmen_nico,TG,64,0.656,2.703,2.703,0.531
carmen_nico,HF,64,0.084,3.75,4.75,1.219
carmen_nico,CC,64,0.039,3.078,4.922,1.844
carmen_nico,CP,64,0.339,3.797,4.266,0.969
carmen_nico,Cn,64,0.532,4.641,4.859,0.219
carmen_nico,S,64,0.386,2.125,3.016,1.047
carmen_nico,LD,64,0.499,2.469,3.203,0.953
carmen_nico,IF,64,0.41,3.344,3.125,0.938
carmen_nico,LC,64,0.237,3.703,3.75,1.203
leticia_nico,TG,64,0.183,4.656,3.844,0.938
leticia_nico,HF,64,0.385,4.75,4.75,0.281
leticia_nico,CC,64,0.118,4.594,4.891,0.422
leticia_nico,CP,64,0.548,4.891,4.891,0.094
leticia_nico,Cn,64,0.474,4.812,4.875,0.156
leticia_nico,S,64,0.27,4.641,4.156,0.672
leticia_nico,LD,64,0.285,4.641,3.938,0.797
leticia_nico,IF,64,0.113,4.938,4.656,0.344
leticia_nico,LC,64,0.475,4.453,4.281,0.516
