metric,config_n,config_k,mean,sd,n_cells
overall_score,2,1,4.190543098958333,0.4991685367830164,64
overall_score,2,5,4.331643738162879,0.4744543110461141,64
overall_score,3,1,4.084123875473484,0.5156191126074348,64
overall_score,3,5,4.265538127367424,0.5000872370917074,64
overall_score,4,1,4.176942578125,0.5156102443094536,64
overall_score,4,5,4.184833558238636,0.5143712874734503,64
textual_groundedness,2,1,3.321614583333333,0.8470910889278184,64
textual_groundedness,2,5,3.4163115530303028,0.8435816870282836,64
textual_groundedness,3,1,3.2157907196969697,0.7749334154679822,64
textual_groundedness,3,5,3.3424479166666665,0.8515287808451671,64
textual_groundedness,4,1,3.3663589015151514,0.8296931373056968,64
textual_groundedness,4,5,3.209398674242424,0.8875025748141141,64
hallucination_free,2,1,4.5078125,0.41698896265194474,64
hallucination_free,2,5,4.71389678030303,0.32980759834375756,64
hallucination_free,3,1,4.430042613636363,0.5806602205095105,64
hallucination_free,3,5,4.717092803030303,0.2862005802462847,64
hallucination_free,4,1,4.6242897727272725,0.3329907690038175,64
hallucination_free,4,5,4.664535984848484,0.34585943702926075,64
concept_counting,2,1,4.489583333333334,0.6037617234430197,64
concept_counting,2,5,4.526870265151516,0.4283452949853468,64
concept_counting,3,1,4.295572916666667,0.5565328086335414,64
concept_counting,3,5,4.540719696969697,0.552187910609794,64
concept_counting,4,1,4.540127840909091,0.4911853651794043,64
concept_counting,4,5,4.518939393939394,0.5501623965041117,64
comprehensibility,2,1,4.688802083333333,0.495625081316673,64
comprehensibility,2,5,4.752604166666666,0.4580556677244616,64
comprehensibility,3,1,4.653409090909091,0.5706368318012885,64
comprehensibility,3,5,4.747514204545455,0.4629691923555497,64
comprehensibility,4,1,4.685132575757576,0.498974773169862,64
comprehensibility,4,5,4.719815340909091,0.46602759980597597,64
conciseness,2,1,4.891927083333333,0.2748575418650648,64
conciseness,2,5,4.9609375,0.08128263826888624,64
conciseness,3,1,4.87890625,0.22268289923366616,64
conciseness,3,5,4.954427083333334,0.08520346990040242,64
conciseness,4,1,4.876302083333334,0.21206560928423418,64
conciseness,4,5,4.936197916666666,0.10884817377366711,64
specificity,2,1,3.5859375,0.8761448481692653,64
specificity,2,5,3.7032433712121207,0.8954519966850181,64
specificity,3,1,3.5439157196969697,0.8438513495138469,64
specificity,3,5,3.6736505681818183,0.9006222358493872,64
specificity,4,1,3.684895833333333,0.8444325330717978,64
specificity,4,5,3.6057054924242427,0.8835780173986569,64
discriminativeness,2,1,3.677083333333333,0.8177781012766786,64
discriminativeness,2,5,4.0514914772727275,0.832350178371113,64
discriminativeness,3,1,3.285748106060606,0.8655260929502082,64
discriminativeness,3,5,3.671993371212121,0.8891785485096521,64
discriminativeness,4,1,3.386837121212121,0.8390191213883976,64
discriminativeness,4,5,3.418087121212121,0.7652102985339436,64
instruction_following,2,1,4.247395833333334,0.8042502766524802,64
instruction_following,2,5,4.388375946969697,0.6972352974219704,64
instruction_following,3,1,4.158735795454545,0.8120869644424711,64
instruction_following,3,5,4.313565340909091,0.7531552332528078,64
instruction_following,4,1,4.194247159090908,0.8331784883768435,64
instruction_following,4,5,4.205374053030303,0.7762878070127415,64
logical_coherence,2,1,4.3046875,0.9322531010172403,64
logical_coherence,2,5,4.470999053030303,0.8496442066969208,64
logical_coherence,3,1,4.2949810606060606,0.8180135342141387,64
logical_coherence,3,5,4.428385416666667,0.8956680297791815,64
logical_coherence,4,1,4.234256628787879,0.9506468334994927,64
logical_coherence,4,5,4.385416666666666,0.844828129208086,64
