config_n,config_k,config_q,prompt_type,correct,total,accuracy,standard_error,ci95_low,ci95_high
2,1,1,axioms_ontology_v2,179,192,0.9323,0.018132,0.8876,0.9600
2,1,1,classification,182,192,0.9479,0.016036,0.9068,0.9715
2,1,1,features,177,192,0.9219,0.019368,0.8751,0.9521
2,1,1,nle,181,192,0.9427,0.016772,0.9003,0.9677
2,1,1,rulebased,179,192,0.9323,0.018132,0.8876,0.9600
2,5,1,axioms_ontology_v2,189,192,0.9844,0.008950,0.9551,0.9947
2,5,1,classification,192,192,1.0000,0.000000,0.9804,1.0000
2,5,1,features,192,192,1.0000,0.000000,0.9804,1.0000
2,5,1,nle,192,192,1.0000,0.000000,0.9804,1.0000
2,5,1,rulebased,191,192,0.9948,0.005195,0.9711,0.9991
3,1,1,axioms_ontology_v2,157,192,0.8177,0.027863,0.7570,0.8659
3,1,1,classification,176,192,0.9167,0.019946,0.8689,0.9481
3,1,1,features,175,192,0.9115,0.020502,0.8628,0.9440
3,1,1,nle,171,192,0.8906,0.022525,0.8386,0.9273
3,1,1,rulebased,171,192,0.8906,0.022525,0.8386,0.9273
3,5,1,axioms_ontology_v2,185,192,0.9635,0.013526,0.9267,0.9822
3,5,1,classification,184,192,0.9583,0.014421,0.9199,0.9787
3,5,1,features,185,192,0.9635,0.013526,0.9267,0.9822
3,5,1,nle,184,192,0.9583,0.014421,0.9199,0.9787
3,5,1,rulebased,183,192,0.9531,0.015254,0.9133,0.9751
4,1,1,axioms_ontology_v2,156,192,0.8125,0.028168,0.7514,0.8614
4,1,1,classification,164,192,0.8542,0.025471,0.7973,0.8971
4,1,1,features,163,192,0.8490,0.025843,0.7915,0.8927
4,1,1,nle,170,192,0.8854,0.022987,0.8326,0.9231
4,1,1,rulebased,164,192,0.8542,0.025471,0.7973,0.8971
4,5,1,axioms_ontology_v2,172,192,0.8958,0.022046,0.8446,0.9316
4,5,1,classification,182,192,0.9479,0.016036,0.9068,0.9715
4,5,1,features,180,192,0.9375,0.017469,0.8939,0.9639
4,5,1,nle,180,192,0.9375,0.017469,0.8939,0.9639
4,5,1,rulebased,175,192,0.9115,0.020502,0.8628,0.9440
