dataset,prompt_type,correct,total,accuracy,standard_error,ci95_low,ci95_high
cifar10,axioms_ontology_v2,260,288,0.9028,0.017457,0.8631,0.9319
cifar10,classification,271,288,0.9410,0.013887,0.9075,0.9628
cifar10,features,273,288,0.9479,0.013093,0.9159,0.9682
cifar10,nle,273,288,0.9479,0.013093,0.9159,0.9682
cifar10,rulebased,266,288,0.9236,0.015652,0.8871,0.9490
dtd,axioms_ontology_v2,238,288,0.8264,0.022320,0.7784,0.8658
dtd,classification,247,288,0.8576,0.020590,0.8126,0.8933
dtd,features,242,288,0.8403,0.021587,0.7935,0.8781
dtd,nle,247,288,0.8576,0.020590,0.8126,0.8933
dtd,rulebased,242,288,0.8403,0.021587,0.7935,0.8781
flowers,axioms_ontology_v2,278,288,0.9653,0.010788,0.9373,0.9810
flowers,classification,288,288,1.0000,0.000000,0.9868,1.0000
flowers,features,288,288,1.0000,0.000000,0.9868,1.0000
flowers,nle,288,288,1.0000,0.000000,0.9868,1.0000
flowers,rulebased,287,288,0.9965,0.003466,0.9806,0.9994
pets,axioms_ontology_v2,262,288,0.9097,0.016887,0.8710,0.9376
pets,classification,274,288,0.9514,0.012672,0.9201,0.9708
pets,features,269,288,0.9340,0.014627,0.8993,0.9574
pets,nle,270,288,0.9375,0.014264,0.9034,0.9601
pets,rulebased,268,288,0.9306,0.014979,0.8952,0.9546
