model,dataset,correct,total,accuracy,standard_error,ci95_low,ci95_high
google/gemini-2.5-flash,cifar10,345,360,0.9583,0.010532,0.9324,0.9746
google/gemini-2.5-flash,dtd,330,360,0.9167,0.014567,0.8835,0.9410
google/gemini-2.5-flash,flowers,360,360,1.0000,0.000000,0.9894,1.0000
google/gemini-2.5-flash,pets,356,360,0.9889,0.005525,0.9718,0.9957
google/gemma-4-26b-a4b-it,cifar10,351,360,0.9750,0.008229,0.9532,0.9868
google/gemma-4-26b-a4b-it,dtd,304,360,0.8444,0.019102,0.8034,0.8782
google/gemma-4-26b-a4b-it,flowers,359,360,0.9972,0.002774,0.9844,0.9995
google/gemma-4-26b-a4b-it,pets,335,360,0.9306,0.013398,0.8995,0.9525
meta-llama/llama-4-scout,cifar10,317,360,0.8806,0.017093,0.8430,0.9101
meta-llama/llama-4-scout,dtd,275,360,0.7639,0.022383,0.7174,0.8048
meta-llama/llama-4-scout,flowers,356,360,0.9889,0.005525,0.9718,0.9957
meta-llama/llama-4-scout,pets,327,360,0.9083,0.015208,0.8741,0.9340
qwen/qwen3-vl-8b-instruct,cifar10,330,360,0.9167,0.014567,0.8835,0.9410
qwen/qwen3-vl-8b-instruct,dtd,307,360,0.8528,0.018675,0.8125,0.8857
qwen/qwen3-vl-8b-instruct,flowers,354,360,0.9833,0.006747,0.9641,0.9923
qwen/qwen3-vl-8b-instruct,pets,325,360,0.9028,0.015614,0.8678,0.9293
