prompt_type,dataset,correct,total,accuracy,standard_error,ci95_low,ci95_high
axioms_ontology_v2,cifar10,260,288,0.9028,0.017457,0.8631,0.9319
axioms_ontology_v2,dtd,238,288,0.8264,0.022320,0.7784,0.8658
axioms_ontology_v2,flowers,278,288,0.9653,0.010788,0.9373,0.9810
axioms_ontology_v2,pets,262,288,0.9097,0.016887,0.8710,0.9376
classification,cifar10,271,288,0.9410,0.013887,0.9075,0.9628
classification,dtd,247,288,0.8576,0.020590,0.8126,0.8933
classification,flowers,288,288,1.0000,0.000000,0.9868,1.0000
classification,pets,274,288,0.9514,0.012672,0.9201,0.9708
features,cifar10,273,288,0.9479,0.013093,0.9159,0.9682
features,dtd,242,288,0.8403,0.021587,0.7935,0.8781
features,flowers,288,288,1.0000,0.000000,0.9868,1.0000
features,pets,269,288,0.9340,0.014627,0.8993,0.9574
nle,cifar10,273,288,0.9479,0.013093,0.9159,0.9682
nle,dtd,247,288,0.8576,0.020590,0.8126,0.8933
nle,flowers,288,288,1.0000,0.000000,0.9868,1.0000
nle,pets,270,288,0.9375,0.014264,0.9034,0.9601
rulebased,cifar10,266,288,0.9236,0.015652,0.8871,0.9490
rulebased,dtd,242,288,0.8403,0.021587,0.7935,0.8781
rulebased,flowers,287,288,0.9965,0.003466,0.9806,0.9994
rulebased,pets,268,288,0.9306,0.014979,0.8952,0.9546
