dataset,prompt_type,model,total_correct,total_trials,total_errors,overall_accuracy,total_duration_seconds,avg_trial_wall_seconds,avg_trial_api_seconds,system_fallback_count
flowers,classification,google/gemini-2.5-flash,72,72,0,1.0000,210.7455,2.7243,2.3968,0
flowers,nle,google/gemini-2.5-flash,72,72,0,1.0000,199.1515,2.5830,2.2419,0
flowers,features,google/gemini-2.5-flash,72,72,0,1.0000,123.8576,1.5545,1.2056,0
flowers,rulebased,google/gemini-2.5-flash,72,72,0,1.0000,195.6729,2.5303,2.1688,0
flowers,axioms_ontology_v2,google/gemini-2.5-flash,72,72,0,1.0000,177.5914,2.2787,1.9536,0
pets,classification,google/gemini-2.5-flash,71,72,0,0.9861,177.2826,2.2700,1.9190,0
pets,nle,google/gemini-2.5-flash,72,72,0,1.0000,144.8999,1.8091,1.4140,0
pets,features,google/gemini-2.5-flash,72,72,0,1.0000,113.6684,1.4001,1.0628,0
pets,rulebased,google/gemini-2.5-flash,70,72,0,0.9722,183.9388,2.3660,1.9855,0
pets,axioms_ontology_v2,google/gemini-2.5-flash,71,72,0,0.9861,174.6394,2.2391,1.8884,0
cifar10,classification,google/gemini-2.5-flash,69,72,0,0.9583,120.2189,1.5997,1.5010,0
cifar10,nle,google/gemini-2.5-flash,69,72,0,0.9583,93.6827,1.2257,1.1310,0
cifar10,features,google/gemini-2.5-flash,69,72,0,0.9583,89.2845,1.1701,1.0711,0
cifar10,rulebased,google/gemini-2.5-flash,69,72,0,0.9583,156.0539,2.0997,2.0008,0
cifar10,axioms_ontology_v2,google/gemini-2.5-flash,69,72,0,0.9583,124.7120,1.6535,1.5640,0
dtd,classification,google/gemini-2.5-flash,67,72,0,0.9306,207.2258,2.6955,2.3531,0
dtd,nle,google/gemini-2.5-flash,67,72,0,0.9306,154.6094,1.9370,1.5618,0
dtd,features,google/gemini-2.5-flash,66,72,0,0.9167,131.6822,1.6551,1.2827,0
