subset,pair,metric,n_trials,mean_diff,ci_lower,ci_upper,mean_x,mean_y,std_diff
all,A-B,textual_groundedness,3504,-0.2289,-0.2654,-0.1906,3.4854,3.7143,1.1272
all,A-B,hallucination_free,3504,0.0713,0.0382,0.1042,4.6524,4.5811,0.9825
all,A-B,concept_counting,3504,-0.0859,-0.1404,-0.0368,4.5445,4.6304,1.485
all,A-B,comprehensibility,3504,0.2509,0.2217,0.28,4.8308,4.5799,0.8785
all,A-B,conciseness,3504,0.0711,0.0574,0.0848,4.9252,4.8542,0.4087
all,A-B,specificity,3504,-0.4886,-0.5191,-0.4578,3.7703,4.2588,0.9046
all,A-B,discriminativeness,3504,-0.3727,-0.4127,-0.3333,3.7095,4.0822,1.2016
all,A-B,instruction_following,3504,-0.4212,-0.4515,-0.3924,4.4421,4.8633,0.892
all,A-B,logical_coherence,3504,-0.1338,-0.1641,-0.1047,4.5642,4.6981,0.912
all,A-C,textual_groundedness,3504,-0.3385,-0.3725,-0.3042,3.4854,3.8239,1.0373
all,A-C,hallucination_free,3504,-0.0314,-0.0619,-0.0006,4.6524,4.6838,0.9679
all,A-C,concept_counting,3504,-0.1533,-0.2029,-0.1059,4.5445,4.6978,1.4391
all,A-C,comprehensibility,3504,0.1926,0.1692,0.2155,4.8308,4.6381,0.7225
all,A-C,conciseness,3504,0.0905,0.0725,0.1087,4.9252,4.8348,0.5654
all,A-C,specificity,3504,-0.478,-0.506,-0.4483,3.7703,4.2483,0.8769
all,A-C,discriminativeness,3504,-0.4212,-0.4601,-0.3813,3.7095,4.1307,1.1869
all,A-C,instruction_following,3504,-0.4227,-0.4503,-0.3941,4.4421,4.8647,0.8669
all,A-C,logical_coherence,3504,-0.2346,-0.2651,-0.202,4.5642,4.7988,0.9322
all,B-C,textual_groundedness,3504,-0.1096,-0.1461,-0.0759,3.7143,3.8239,1.0474
all,B-C,hallucination_free,3504,-0.1027,-0.1353,-0.0731,4.5811,4.6838,0.9603
all,B-C,concept_counting,3504,-0.0674,-0.1002,-0.034,4.6304,4.6978,0.9551
all,B-C,comprehensibility,3504,-0.0582,-0.0799,-0.0377,4.5799,4.6381,0.6482
all,B-C,conciseness,3504,0.0194,-0.0009,0.04,4.8542,4.8348,0.6286
all,B-C,specificity,3504,0.0106,-0.0188,0.038,4.2588,4.2483,0.8641
all,B-C,discriminativeness,3504,-0.0485,-0.0839,-0.014,4.0822,4.1307,1.0753
all,B-C,instruction_following,3504,-0.0014,-0.0191,0.0168,4.8633,4.8647,0.5409
all,B-C,logical_coherence,3504,-0.1007,-0.1253,-0.0773,4.6981,4.7988,0.7253
no_axioms,A-B,textual_groundedness,3007,-0.132,-0.1713,-0.0944,3.6621,3.7941,1.0848
no_axioms,A-B,hallucination_free,3007,0.0685,0.0382,0.1001,4.6891,4.6206,0.881
no_axioms,A-B,concept_counting,3007,-0.1975,-0.2451,-0.1503,4.5916,4.7892,1.3149
no_axioms,A-B,comprehensibility,3007,-0.004,-0.0133,0.005,4.9571,4.9611,0.2527
no_axioms,A-B,conciseness,3007,0.0712,0.0579,0.0858,4.9182,4.847,0.3872
no_axioms,A-B,specificity,3007,-0.4869,-0.5155,-0.4566,3.8959,4.3828,0.8649
no_axioms,A-B,discriminativeness,3007,-0.3788,-0.4194,-0.3369,3.7732,4.152,1.1642
no_axioms,A-B,instruction_following,3007,-0.2301,-0.2544,-0.2062,4.6608,4.8909,0.7102
no_axioms,A-B,logical_coherence,3007,0.0333,0.011,0.0555,4.8264,4.7931,0.6314
no_axioms,A-C,textual_groundedness,3007,-0.3199,-0.3552,-0.283,3.6621,3.982,1.0265
no_axioms,A-C,hallucination_free,3007,-0.0958,-0.1254,-0.0662,4.6891,4.7848,0.8045
no_axioms,A-C,concept_counting,3007,-0.2687,-0.3113,-0.2231,4.5916,4.8603,1.245
no_axioms,A-C,comprehensibility,3007,-0.0249,-0.0326,-0.017,4.9571,4.982,0.2212
no_axioms,A-C,conciseness,3007,0.0256,0.0133,0.0379,4.9182,4.8926,0.3475
no_axioms,A-C,specificity,3007,-0.4995,-0.5304,-0.4699,3.8959,4.3954,0.8514
no_axioms,A-C,discriminativeness,3007,-0.4699,-0.5125,-0.4293,3.7732,4.2431,1.1701
no_axioms,A-C,instruction_following,3007,-0.2617,-0.2857,-0.2384,4.6608,4.9225,0.6628
no_axioms,A-C,logical_coherence,3007,-0.0226,-0.0426,-0.003,4.8264,4.849,0.5587
no_axioms,B-C,textual_groundedness,3007,-0.1879,-0.2231,-0.1513,3.7941,3.982,1.0317
no_axioms,B-C,hallucination_free,3007,-0.1643,-0.1932,-0.133,4.6206,4.7848,0.8319
no_axioms,B-C,concept_counting,3007,-0.0712,-0.0998,-0.0402,4.7892,4.8603,0.8582
no_axioms,B-C,comprehensibility,3007,-0.021,-0.0283,-0.014,4.9611,4.982,0.2044
no_axioms,B-C,conciseness,3007,-0.0456,-0.0619,-0.0309,4.847,4.8926,0.4364
no_axioms,B-C,specificity,3007,-0.0126,-0.0422,0.0173,4.3828,4.3954,0.8211
no_axioms,B-C,discriminativeness,3007,-0.0911,-0.129,-0.0542,4.152,4.2431,1.0314
no_axioms,B-C,instruction_following,3007,-0.0316,-0.0469,-0.0173,4.8909,4.9225,0.43
no_axioms,B-C,logical_coherence,3007,-0.0559,-0.0758,-0.0356,4.7931,4.849,0.564
