dataset,prompt_type,judged_trials,textual_groundedness,textual_groundedness_se,hallucination_free,hallucination_free_se,concept_counting,concept_counting_se,comprehensibility,comprehensibility_se,conciseness,conciseness_se,specificity,specificity_se,discriminativeness,discriminativeness_se,instruction_following,instruction_following_se,logical_coherence,logical_coherence_se,overall_score,overall_score_se
cifar10,axioms_ontology_v2,255,2.5765,0.0815,3.8706,0.1005,3.5020,0.1181,2.2941,0.0670,4.4549,0.0728,2.9098,0.1099,3.1020,0.1130,4.5529,0.0610,4.4431,0.0677,3.5229,0.0686
cifar10,features,267,3.9401,0.0587,4.8764,0.0316,4.8464,0.0436,4.9963,0.0037,4.9064,0.0221,3.9139,0.0689,3.7978,0.0795,4.9513,0.0132,4.6592,0.0576,4.5431,0.0301
cifar10,nle,275,3.4509,0.0576,4.5564,0.0605,4.8327,0.0461,4.9709,0.0135,4.7527,0.0352,3.8291,0.0690,4.0327,0.0784,4.9236,0.0191,4.8400,0.0294,4.4655,0.0320
cifar10,rulebased,275,4.2182,0.0626,4.7382,0.0506,4.8073,0.0462,4.9964,0.0036,4.9709,0.0102,4.4545,0.0581,4.3455,0.0749,4.8618,0.0289,4.8473,0.0308,4.6933,0.0304
dtd,axioms_ontology_v2,239,2.8368,0.0921,3.8828,0.1012,3.5314,0.1216,2.6820,0.0826,4.4686,0.0745,3.3264,0.1138,3.3724,0.1163,4.3766,0.0736,4.2552,0.0808,3.6369,0.0772
dtd,features,275,4.1891,0.0578,4.8691,0.0290,4.9382,0.0263,5.0000,0.0000,4.8582,0.0261,4.3418,0.0576,3.8691,0.0841,4.9382,0.0199,4.7636,0.0449,4.6408,0.0274
dtd,nle,276,3.9312,0.0540,4.6304,0.0563,4.8623,0.0409,4.9312,0.0211,4.7174,0.0442,4.5471,0.0501,4.4058,0.0730,4.9384,0.0199,4.7935,0.0369,4.6397,0.0329
dtd,rulebased,266,4.5113,0.0528,4.9023,0.0286,4.9850,0.0075,4.9474,0.0165,4.8797,0.0315,4.7932,0.0353,4.3872,0.0747,4.7895,0.0346,4.7632,0.0423,4.7732,0.0241
flowers,axioms_ontology_v2,249,3.0120,0.0970,4.2088,0.0955,3.6627,0.1181,2.4980,0.0823,4.4337,0.0812,3.6707,0.1136,3.6426,0.1132,4.4538,0.0715,4.5301,0.0623,3.7903,0.0776
flowers,features,269,3.9331,0.0573,4.8178,0.0298,4.7621,0.0448,4.9851,0.0074,4.9071,0.0213,4.1933,0.0577,3.9926,0.0670,4.9108,0.0197,4.8996,0.0248,4.6002,0.0256
flowers,nle,272,3.8529,0.0539,4.8199,0.0334,4.7610,0.0474,4.9632,0.0126,4.9007,0.0228,4.6213,0.0448,4.6765,0.0504,4.9743,0.0109,4.9632,0.0126,4.7259,0.0212
flowers,rulebased,267,4.1461,0.0681,4.7790,0.0386,4.6517,0.0594,4.9925,0.0053,4.9925,0.0053,4.7041,0.0403,4.6180,0.0560,4.8914,0.0260,4.8989,0.0250,4.7416,0.0263
pets,axioms_ontology_v2,242,2.7603,0.0997,3.9132,0.1089,3.5000,0.1240,2.4050,0.0795,4.3512,0.0872,3.2149,0.1153,3.1942,0.1193,4.2934,0.0759,4.2934,0.0734,3.5473,0.0816
pets,features,273,3.9231,0.0631,4.8571,0.0242,4.9890,0.0082,5.0000,0.0000,4.9377,0.0172,4.2564,0.0564,3.8462,0.0734,4.9890,0.0063,4.8828,0.0316,4.6313,0.0216
pets,nle,278,3.5683,0.0614,4.7374,0.0438,4.9568,0.0248,4.9784,0.0124,4.8525,0.0295,4.3129,0.0594,4.2878,0.0681,4.9712,0.0113,4.8669,0.0297,4.6147,0.0263
pets,rulebased,261,4.1226,0.0708,4.8544,0.0361,4.9349,0.0292,5.0000,0.0000,4.9923,0.0054,4.7318,0.0436,4.5479,0.0586,4.8966,0.0255,4.9195,0.0264,4.7778,0.0225
