dataset,prompt_type,judged_trials,textual_groundedness,textual_groundedness_se,hallucination_free,hallucination_free_se,concept_counting,concept_counting_se,comprehensibility,comprehensibility_se,conciseness,conciseness_se,specificity,specificity_se,discriminativeness,discriminativeness_se,instruction_following,instruction_following_se,logical_coherence,logical_coherence_se,overall_score,overall_score_se
cifar10,axioms_ontology_v2,177,2.9040,0.1174,4.2147,0.1075,3.7062,0.1382,2.2825,0.1075,4.8701,0.0460,3.2486,0.1352,3.5198,0.1374,4.7062,0.0557,4.0847,0.1136,3.7263,0.0799
cifar10,features,265,3.6792,0.0637,4.8792,0.0330,4.8302,0.0433,4.9925,0.0053,4.9434,0.0161,4.1245,0.0662,3.8491,0.0786,4.9509,0.0133,4.6943,0.0535,4.5493,0.0291
cifar10,nle,276,3.2681,0.0588,4.0797,0.0721,4.7355,0.0567,4.8877,0.0250,4.5399,0.0457,3.6775,0.0668,3.9601,0.0792,4.7645,0.0328,4.6739,0.0418,4.2874,0.0383
cifar10,rulebased,270,4.2296,0.0625,4.7852,0.0472,4.8333,0.0457,4.9778,0.0138,4.9704,0.0103,4.5852,0.0511,4.4148,0.0740,4.8889,0.0253,4.8333,0.0381,4.7243,0.0294
dtd,axioms_ontology_v2,159,3.3899,0.1347,4.2642,0.1102,3.5912,0.1486,2.2579,0.1253,4.7736,0.0585,3.4088,0.1504,3.4843,0.1498,4.6352,0.0621,3.6352,0.1303,3.7156,0.0847
dtd,features,269,3.9777,0.0662,4.8216,0.0368,4.8439,0.0417,5.0000,0.0000,4.9145,0.0220,4.4275,0.0600,3.7844,0.0837,4.9033,0.0222,4.7286,0.0487,4.6002,0.0300
dtd,nle,270,3.7259,0.0625,4.2074,0.0755,4.7333,0.0556,4.8556,0.0322,4.5741,0.0533,4.3333,0.0614,4.2370,0.0805,4.8889,0.0259,4.6296,0.0499,4.4650,0.0413
dtd,rulebased,262,4.4924,0.0574,4.8282,0.0377,4.9504,0.0224,4.9695,0.0131,4.9008,0.0269,4.7176,0.0417,4.5267,0.0657,4.8550,0.0302,4.8168,0.0388,4.7841,0.0241
flowers,axioms_ontology_v2,115,3.0957,0.1684,4.2087,0.1469,3.0435,0.1858,2.0522,0.1532,4.9652,0.0348,3.4174,0.1819,3.4957,0.1791,4.6696,0.0826,4.4087,0.1190,3.7063,0.1023
flowers,features,258,3.7868,0.0625,4.8488,0.0283,4.5465,0.0690,4.9845,0.0095,4.9225,0.0200,4.3101,0.0593,3.7791,0.0800,4.9031,0.0222,4.8101,0.0403,4.5435,0.0289
flowers,nle,264,3.3939,0.0611,4.2462,0.0688,4.4470,0.0770,4.9242,0.0203,4.6932,0.0376,4.4129,0.0523,4.2652,0.0737,4.8939,0.0243,4.8371,0.0308,4.4571,0.0348
flowers,rulebased,263,4.1255,0.0656,4.7909,0.0409,4.6236,0.0657,4.9886,0.0066,4.9886,0.0066,4.7452,0.0396,4.6844,0.0545,4.8859,0.0276,4.8935,0.0277,4.7474,0.0272
pets,axioms_ontology_v2,137,2.9124,0.1445,4.2920,0.1253,3.5255,0.1632,2.0000,0.1260,4.8832,0.0577,3.2263,0.1612,3.4015,0.1566,4.6642,0.0712,4.0803,0.1319,3.6650,0.0915
pets,features,270,3.6037,0.0669,4.8778,0.0226,4.9704,0.0209,5.0000,0.0000,4.9778,0.0090,4.4222,0.0584,3.7296,0.0793,4.9704,0.0116,4.8259,0.0401,4.5975,0.0230
pets,nle,265,3.2453,0.0656,4.2302,0.0728,4.9019,0.0337,4.9358,0.0185,4.7208,0.0399,4.1057,0.0599,3.9321,0.0777,4.8151,0.0298,4.7434,0.0348,4.4034,0.0331
pets,rulebased,255,3.8941,0.0742,4.8392,0.0348,4.9765,0.0123,4.9961,0.0039,4.9843,0.0078,4.7176,0.0372,4.5020,0.0671,4.9137,0.0208,4.9255,0.0221,4.7499,0.0198
