dataset,prompt_type,correct,total,accuracy,standard_error,ci95_low,ci95_high
cifar10,axioms_ontology_v2,69,72,0.9583,0.023550,0.8845,0.9857
cifar10,classification,69,72,0.9583,0.023550,0.8845,0.9857
cifar10,features,69,72,0.9583,0.023550,0.8845,0.9857
cifar10,nle,69,72,0.9583,0.023550,0.8845,0.9857
cifar10,rulebased,69,72,0.9583,0.023550,0.8845,0.9857
dtd,axioms_ontology_v2,65,72,0.9028,0.034915,0.8126,0.9521
dtd,classification,67,72,0.9306,0.029959,0.8475,0.9700
dtd,features,66,72,0.9167,0.032572,0.8299,0.9612
dtd,nle,67,72,0.9306,0.029959,0.8475,0.9700
dtd,rulebased,65,72,0.9028,0.034915,0.8126,0.9521
flowers,axioms_ontology_v2,72,72,1.0000,0.000000,0.9493,1.0000
flowers,classification,72,72,1.0000,0.000000,0.9493,1.0000
flowers,features,72,72,1.0000,0.000000,0.9493,1.0000
flowers,nle,72,72,1.0000,0.000000,0.9493,1.0000
flowers,rulebased,72,72,1.0000,0.000000,0.9493,1.0000
pets,axioms_ontology_v2,71,72,0.9861,0.013792,0.9254,0.9975
pets,classification,71,72,0.9861,0.013792,0.9254,0.9975
pets,features,72,72,1.0000,0.000000,0.9493,1.0000
pets,nle,72,72,1.0000,0.000000,0.9493,1.0000
pets,rulebased,70,72,0.9722,0.019367,0.9043,0.9923
