prompt_type,dataset,correct,total,accuracy,standard_error,ci95_low,ci95_high
axioms_ontology_v2,cifar10,69,72,0.9583,0.023550,0.8845,0.9857
axioms_ontology_v2,dtd,65,72,0.9028,0.034915,0.8126,0.9521
axioms_ontology_v2,flowers,72,72,1.0000,0.000000,0.9493,1.0000
axioms_ontology_v2,pets,71,72,0.9861,0.013792,0.9254,0.9975
classification,cifar10,69,72,0.9583,0.023550,0.8845,0.9857
classification,dtd,67,72,0.9306,0.029959,0.8475,0.9700
classification,flowers,72,72,1.0000,0.000000,0.9493,1.0000
classification,pets,71,72,0.9861,0.013792,0.9254,0.9975
features,cifar10,69,72,0.9583,0.023550,0.8845,0.9857
features,dtd,66,72,0.9167,0.032572,0.8299,0.9612
features,flowers,72,72,1.0000,0.000000,0.9493,1.0000
features,pets,72,72,1.0000,0.000000,0.9493,1.0000
nle,cifar10,69,72,0.9583,0.023550,0.8845,0.9857
nle,dtd,67,72,0.9306,0.029959,0.8475,0.9700
nle,flowers,72,72,1.0000,0.000000,0.9493,1.0000
nle,pets,72,72,1.0000,0.000000,0.9493,1.0000
rulebased,cifar10,69,72,0.9583,0.023550,0.8845,0.9857
rulebased,dtd,65,72,0.9028,0.034915,0.8126,0.9521
rulebased,flowers,72,72,1.0000,0.000000,0.9493,1.0000
rulebased,pets,70,72,0.9722,0.019367,0.9043,0.9923
