dataset,prompt_type,correct,total,accuracy,standard_error,ci95_low,ci95_high
cifar10,axioms_ontology_v2,70,72,0.9722,0.019367,0.9043,0.9923
cifar10,classification,70,72,0.9722,0.019367,0.9043,0.9923
cifar10,features,71,72,0.9861,0.013792,0.9254,0.9975
cifar10,nle,71,72,0.9861,0.013792,0.9254,0.9975
cifar10,rulebased,69,72,0.9583,0.023550,0.8845,0.9857
dtd,axioms_ontology_v2,60,72,0.8333,0.043921,0.7309,0.9020
dtd,classification,61,72,0.8472,0.042400,0.7468,0.9125
dtd,features,58,72,0.8056,0.046642,0.6997,0.8805
dtd,nle,63,72,0.8750,0.038976,0.7792,0.9328
dtd,rulebased,62,72,0.8611,0.040757,0.7629,0.9228
flowers,axioms_ontology_v2,71,72,0.9861,0.013792,0.9254,0.9975
flowers,classification,72,72,1.0000,0.000000,0.9493,1.0000
flowers,features,72,72,1.0000,0.000000,0.9493,1.0000
flowers,nle,72,72,1.0000,0.000000,0.9493,1.0000
flowers,rulebased,72,72,1.0000,0.000000,0.9493,1.0000
pets,axioms_ontology_v2,65,72,0.9028,0.034915,0.8126,0.9521
pets,classification,69,72,0.9583,0.023550,0.8845,0.9857
pets,features,67,72,0.9306,0.029959,0.8475,0.9700
pets,nle,65,72,0.9028,0.034915,0.8126,0.9521
pets,rulebased,69,72,0.9583,0.023550,0.8845,0.9857
