dataset,prompt_type,model,total_correct,total_trials,total_errors,overall_accuracy,total_duration_seconds,avg_trial_wall_seconds,avg_trial_api_seconds,system_fallback_count
flowers,classification,google/gemma-4-26b-a4b-it,72,72,0,1.0000,229.8180,2.9703,2.6306,0
flowers,nle,google/gemma-4-26b-a4b-it,72,72,0,1.0000,621.0114,8.4373,8.0930,0
flowers,features,google/gemma-4-26b-a4b-it,72,72,0,1.0000,439.8825,5.9336,5.5629,0
flowers,rulebased,google/gemma-4-26b-a4b-it,72,72,0,1.0000,966.1032,13.2147,12.8515,0
flowers,axioms_ontology_v2,google/gemma-4-26b-a4b-it,71,72,0,0.9861,1366.9247,18.7835,18.4296,0
pets,classification,google/gemma-4-26b-a4b-it,69,72,0,0.9583,234.4116,3.0178,2.6743,0
pets,nle,google/gemma-4-26b-a4b-it,65,72,0,0.9028,229.8436,3.0183,2.6936,0
pets,features,google/gemma-4-26b-a4b-it,67,72,0,0.9306,180.2370,2.3251,2.0065,0
pets,rulebased,google/gemma-4-26b-a4b-it,69,72,0,0.9583,285.3579,3.7719,3.3973,0
pets,axioms_ontology_v2,google/gemma-4-26b-a4b-it,65,72,0,0.9028,304.3183,4.0539,3.7409,0
cifar10,classification,google/gemma-4-26b-a4b-it,70,72,0,0.9722,84.0911,1.0884,0.9886,0
cifar10,nle,google/gemma-4-26b-a4b-it,71,72,0,0.9861,152.8858,2.0539,1.9501,0
cifar10,features,google/gemma-4-26b-a4b-it,71,72,0,0.9861,96.7828,1.2758,1.1795,0
cifar10,rulebased,google/gemma-4-26b-a4b-it,69,72,0,0.9583,227.3630,3.0854,2.9928,0
cifar10,axioms_ontology_v2,google/gemma-4-26b-a4b-it,70,72,0,0.9722,264.0944,3.6039,3.5213,0
dtd,classification,google/gemma-4-26b-a4b-it,61,72,0,0.8472,142.1430,1.7949,1.4375,0
dtd,nle,google/gemma-4-26b-a4b-it,63,72,0,0.8750,317.5980,4.2286,3.8866,0
dtd,features,google/gemma-4-26b-a4b-it,58,72,0,0.8056,137.3612,1.7268,1.4009,0
dtd,rulebased,google/gemma-4-26b-a4b-it,62,72,0,0.8611,373.5190,5.0073,4.6473,0
dtd,axioms_ontology_v2,google/gemma-4-26b-a4b-it,60,72,0,0.8333,369.3336,4.8774,4.2833,0
