config_n,config_k,config_q,prompt_type,correct,total,accuracy,standard_error,ci95_low,ci95_high
2,1,1,axioms_ontology_v2,44,48,0.9167,0.039893,0.8045,0.9671
2,1,1,classification,43,48,0.8958,0.044092,0.7783,0.9547
2,1,1,features,43,48,0.8958,0.044092,0.7783,0.9547
2,1,1,nle,44,48,0.9167,0.039893,0.8045,0.9671
2,1,1,rulebased,43,48,0.8958,0.044092,0.7783,0.9547
2,5,1,axioms_ontology_v2,48,48,1.0000,0.000000,0.9259,1.0000
2,5,1,classification,48,48,1.0000,0.000000,0.9259,1.0000
2,5,1,features,48,48,1.0000,0.000000,0.9259,1.0000
2,5,1,nle,48,48,1.0000,0.000000,0.9259,1.0000
2,5,1,rulebased,48,48,1.0000,0.000000,0.9259,1.0000
3,1,1,axioms_ontology_v2,37,48,0.7708,0.060665,0.6346,0.8669
3,1,1,classification,38,48,0.7917,0.058618,0.6574,0.8827
3,1,1,features,40,48,0.8333,0.053791,0.7042,0.9130
3,1,1,nle,39,48,0.8125,0.056337,0.6806,0.8981
3,1,1,rulebased,39,48,0.8125,0.056337,0.6806,0.8981
3,5,1,axioms_ontology_v2,45,48,0.9375,0.034939,0.8316,0.9785
3,5,1,classification,45,48,0.9375,0.034939,0.8316,0.9785
3,5,1,features,45,48,0.9375,0.034939,0.8316,0.9785
3,5,1,nle,45,48,0.9375,0.034939,0.8316,0.9785
3,5,1,rulebased,43,48,0.8958,0.044092,0.7783,0.9547
4,1,1,axioms_ontology_v2,38,48,0.7917,0.058618,0.6574,0.8827
4,1,1,classification,37,48,0.7708,0.060665,0.6346,0.8669
4,1,1,features,36,48,0.7500,0.062500,0.6122,0.8508
4,1,1,nle,41,48,0.8542,0.050942,0.7283,0.9275
4,1,1,rulebased,36,48,0.7500,0.062500,0.6122,0.8508
4,5,1,axioms_ontology_v2,44,48,0.9167,0.039893,0.8045,0.9671
4,5,1,classification,44,48,0.9167,0.039893,0.8045,0.9671
4,5,1,features,43,48,0.8958,0.044092,0.7783,0.9547
4,5,1,nle,43,48,0.8958,0.044092,0.7783,0.9547
4,5,1,rulebased,40,48,0.8333,0.053791,0.7042,0.9130
