dataset,prompt_type,correct,total,accuracy,standard_error,ci95_low,ci95_high
cifar10,axioms_ontology_v2,62,72,0.8611,0.040757,0.7629,0.9228
cifar10,classification,63,72,0.8750,0.038976,0.7792,0.9328
cifar10,features,65,72,0.9028,0.034915,0.8126,0.9521
cifar10,nle,66,72,0.9167,0.032572,0.8299,0.9612
cifar10,rulebased,61,72,0.8472,0.042400,0.7468,0.9125
dtd,axioms_ontology_v2,60,72,0.8333,0.043921,0.7309,0.9020
dtd,classification,54,72,0.7500,0.051031,0.6391,0.8356
dtd,features,54,72,0.7500,0.051031,0.6391,0.8356
dtd,nle,55,72,0.7639,0.050050,0.6540,0.8470
dtd,rulebased,52,72,0.7222,0.052786,0.6095,0.8124
flowers,axioms_ontology_v2,69,72,0.9583,0.023550,0.8845,0.9857
flowers,classification,72,72,1.0000,0.000000,0.9493,1.0000
flowers,features,72,72,1.0000,0.000000,0.9493,1.0000
flowers,nle,72,72,1.0000,0.000000,0.9493,1.0000
flowers,rulebased,71,72,0.9861,0.013792,0.9254,0.9975
pets,axioms_ontology_v2,65,72,0.9028,0.034915,0.8126,0.9521
pets,classification,66,72,0.9167,0.032572,0.8299,0.9612
pets,features,64,72,0.8889,0.037037,0.7958,0.9426
pets,nle,67,72,0.9306,0.029959,0.8475,0.9700
pets,rulebased,65,72,0.9028,0.034915,0.8126,0.9521
