prompt_type,dataset,correct,total,accuracy,standard_error,ci95_low,ci95_high
axioms_ontology_v2,cifar10,62,72,0.8611,0.040757,0.7629,0.9228
axioms_ontology_v2,dtd,60,72,0.8333,0.043921,0.7309,0.9020
axioms_ontology_v2,flowers,69,72,0.9583,0.023550,0.8845,0.9857
axioms_ontology_v2,pets,65,72,0.9028,0.034915,0.8126,0.9521
classification,cifar10,63,72,0.8750,0.038976,0.7792,0.9328
classification,dtd,54,72,0.7500,0.051031,0.6391,0.8356
classification,flowers,72,72,1.0000,0.000000,0.9493,1.0000
classification,pets,66,72,0.9167,0.032572,0.8299,0.9612
features,cifar10,65,72,0.9028,0.034915,0.8126,0.9521
features,dtd,54,72,0.7500,0.051031,0.6391,0.8356
features,flowers,72,72,1.0000,0.000000,0.9493,1.0000
features,pets,64,72,0.8889,0.037037,0.7958,0.9426
nle,cifar10,66,72,0.9167,0.032572,0.8299,0.9612
nle,dtd,55,72,0.7639,0.050050,0.6540,0.8470
nle,flowers,72,72,1.0000,0.000000,0.9493,1.0000
nle,pets,67,72,0.9306,0.029959,0.8475,0.9700
rulebased,cifar10,61,72,0.8472,0.042400,0.7468,0.9125
rulebased,dtd,52,72,0.7222,0.052786,0.6095,0.8124
rulebased,flowers,71,72,0.9861,0.013792,0.9254,0.9975
rulebased,pets,65,72,0.9028,0.034915,0.8126,0.9521
