dataset,prompt_type,model,total_correct,total_trials,total_errors,overall_accuracy,total_duration_seconds,avg_trial_wall_seconds,avg_trial_api_seconds,system_fallback_count
flowers,classification,meta-llama/llama-4-scout,72,72,0,1.0000,158.3981,1.7845,0.8334,0
flowers,nle,meta-llama/llama-4-scout,72,72,0,1.0000,280.5449,3.3978,2.3041,0
flowers,features,meta-llama/llama-4-scout,72,72,0,1.0000,209.3945,2.4350,1.3509,0
flowers,rulebased,meta-llama/llama-4-scout,71,72,0,0.9861,381.1114,4.8117,3.8048,0
flowers,axioms_ontology_v2,meta-llama/llama-4-scout,69,72,0,0.9583,308.9374,3.8515,2.9381,0
pets,classification,meta-llama/llama-4-scout,66,72,0,0.9167,153.7667,1.6990,0.7839,0
pets,nle,meta-llama/llama-4-scout,67,72,0,0.9306,269.5258,3.3368,2.3863,0
pets,features,meta-llama/llama-4-scout,64,72,0,0.8889,192.1627,2.2326,1.2975,0
pets,rulebased,meta-llama/llama-4-scout,65,72,0,0.9028,356.2690,4.5071,3.5600,0
pets,axioms_ontology_v2,meta-llama/llama-4-scout,65,72,0,0.9028,290.9992,3.6511,2.7260,0
cifar10,classification,meta-llama/llama-4-scout,63,72,0,0.8750,81.4133,0.9846,0.7746,0
cifar10,nle,meta-llama/llama-4-scout,66,72,0,0.9167,159.8986,2.0814,1.8880,0
cifar10,features,meta-llama/llama-4-scout,65,72,0,0.9028,97.2764,1.2078,1.0193,0
cifar10,rulebased,meta-llama/llama-4-scout,61,72,0,0.8472,210.3770,2.7818,2.5875,0
cifar10,axioms_ontology_v2,meta-llama/llama-4-scout,62,72,0,0.8611,189.2938,2.4834,2.2847,0
dtd,classification,meta-llama/llama-4-scout,54,72,0,0.7500,161.0024,1.8127,0.8684,0
dtd,nle,meta-llama/llama-4-scout,55,72,0,0.7639,242.9750,2.9457,1.9959,0
dtd,features,meta-llama/llama-4-scout,54,72,0,0.7500,185.7656,2.1386,1.1923,0
dtd,rulebased,meta-llama/llama-4-scout,52,72,0,0.7222,315.4611,3.9207,2.9500,0
dtd,axioms_ontology_v2,meta-llama/llama-4-scout,60,72,0,0.8333,277.2754,3.4399,2.5012,0
