dataset,prompt_type,model,"(2,1,1)_run0","(2,1,1)_run1","(2,1,1)_run2","(2,1,1)_run3","(2,1,1)_run4","(2,1,1)_run5","(2,5,1)_run0","(2,5,1)_run1","(2,5,1)_run2","(2,5,1)_run3","(2,5,1)_run4","(2,5,1)_run5","(3,1,1)_run0","(3,1,1)_run1","(3,1,1)_run2","(3,1,1)_run3","(3,5,1)_run0","(3,5,1)_run1","(3,5,1)_run2","(3,5,1)_run3","(4,1,1)_run0","(4,1,1)_run1","(4,1,1)_run2","(4,5,1)_run0","(4,5,1)_run1","(4,5,1)_run2"
cifar10,axioms_ontology_v2,meta-llama/llama-4-scout,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,0.6667,0.6667,0.6667,1.0000,1.0000,1.0000,0.5000,0.5000,1.0000,1.0000,0.7500,1.0000
cifar10,classification,meta-llama/llama-4-scout,1.0000,0.5000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,0.3333,1.0000,1.0000,1.0000,1.0000,0.2500,0.7500,0.7500,1.0000,1.0000,1.0000
cifar10,features,meta-llama/llama-4-scout,1.0000,0.5000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,0.6667,1.0000,1.0000,1.0000,1.0000,0.5000,0.7500,0.7500,1.0000,1.0000,1.0000
cifar10,nle,meta-llama/llama-4-scout,1.0000,0.5000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,0.6667,1.0000,1.0000,1.0000,1.0000,0.7500,0.7500,1.0000,1.0000,1.0000,1.0000
cifar10,rulebased,meta-llama/llama-4-scout,1.0000,0.5000,0.5000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.3333,1.0000,0.6667,1.0000,1.0000,0.6667,1.0000,0.7500,0.7500,1.0000,0.7500,0.7500,1.0000
dtd,axioms_ontology_v2,meta-llama/llama-4-scout,1.0000,0.5000,0.5000,0.5000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,0.6667,0.7500,0.5000,1.0000,0.7500,0.5000,1.0000
dtd,classification,meta-llama/llama-4-scout,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,0.6667,1.0000,0.6667,0.6667,0.6667,0.5000,0.7500,0.7500,0.7500,0.2500,1.0000
dtd,features,meta-llama/llama-4-scout,1.0000,0.5000,0.5000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,1.0000,1.0000,0.6667,0.6667,0.6667,0.5000,0.7500,0.5000,0.5000,0.2500,1.0000
dtd,nle,meta-llama/llama-4-scout,1.0000,0.5000,0.5000,0.5000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,0.6667,1.0000,0.6667,0.6667,0.6667,0.5000,1.0000,0.5000,0.5000,0.2500,1.0000
dtd,rulebased,meta-llama/llama-4-scout,1.0000,0.5000,0.5000,0.5000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,0.6667,0.6667,0.3333,1.0000,0.6667,0.2500,0.5000,0.5000,0.7500,0.2500,1.0000
