config_n,config_k,config_q,prompt_type,correct,total,accuracy,standard_error,ci95_low,ci95_high
2,1,1,axioms_ontology_v2,44,48,0.9167,0.039893,0.8045,0.9671
2,1,1,classification,47,48,0.9792,0.020615,0.8910,0.9963
2,1,1,features,46,48,0.9583,0.028842,0.8602,0.9885
2,1,1,nle,45,48,0.9375,0.034939,0.8316,0.9785
2,1,1,rulebased,46,48,0.9583,0.028842,0.8602,0.9885
2,5,1,axioms_ontology_v2,45,48,0.9375,0.034939,0.8316,0.9785
2,5,1,classification,48,48,1.0000,0.000000,0.9259,1.0000
2,5,1,features,48,48,1.0000,0.000000,0.9259,1.0000
2,5,1,nle,48,48,1.0000,0.000000,0.9259,1.0000
2,5,1,rulebased,47,48,0.9792,0.020615,0.8910,0.9963
3,1,1,axioms_ontology_v2,32,48,0.6667,0.068041,0.5254,0.7832
3,1,1,classification,44,48,0.9167,0.039893,0.8045,0.9671
3,1,1,features,44,48,0.9167,0.039893,0.8045,0.9671
3,1,1,nle,41,48,0.8542,0.050942,0.7283,0.9275
3,1,1,rulebased,41,48,0.8542,0.050942,0.7283,0.9275
3,5,1,axioms_ontology_v2,46,48,0.9583,0.028842,0.8602,0.9885
3,5,1,classification,45,48,0.9375,0.034939,0.8316,0.9785
3,5,1,features,46,48,0.9583,0.028842,0.8602,0.9885
3,5,1,nle,45,48,0.9375,0.034939,0.8316,0.9785
3,5,1,rulebased,46,48,0.9583,0.028842,0.8602,0.9885
4,1,1,axioms_ontology_v2,33,48,0.6875,0.066902,0.5467,0.8005
4,1,1,classification,44,48,0.9167,0.039893,0.8045,0.9671
4,1,1,features,43,48,0.8958,0.044092,0.7783,0.9547
4,1,1,nle,44,48,0.9167,0.039893,0.8045,0.9671
4,1,1,rulebased,42,48,0.8750,0.047735,0.7530,0.9414
4,5,1,axioms_ontology_v2,39,48,0.8125,0.056337,0.6806,0.8981
4,5,1,classification,46,48,0.9583,0.028842,0.8602,0.9885
4,5,1,features,43,48,0.8958,0.044092,0.7783,0.9547
4,5,1,nle,44,48,0.9167,0.039893,0.8045,0.9671
4,5,1,rulebased,44,48,0.9167,0.039893,0.8045,0.9671
