dataset,prompt_type,correct,total,accuracy,standard_error,ci95_low,ci95_high
cifar10,axioms_ontology_v2,59,72,0.8194,0.045331,0.7152,0.8913
cifar10,classification,69,72,0.9583,0.023550,0.8845,0.9857
cifar10,features,68,72,0.9444,0.026995,0.8657,0.9782
cifar10,nle,67,72,0.9306,0.029959,0.8475,0.9700
cifar10,rulebased,67,72,0.9306,0.029959,0.8475,0.9700
dtd,axioms_ontology_v2,53,72,0.7361,0.051942,0.6242,0.8241
dtd,classification,65,72,0.9028,0.034915,0.8126,0.9521
dtd,features,64,72,0.8889,0.037037,0.7958,0.9426
dtd,nle,62,72,0.8611,0.040757,0.7629,0.9228
dtd,rulebased,63,72,0.8750,0.038976,0.7792,0.9328
flowers,axioms_ontology_v2,66,72,0.9167,0.032572,0.8299,0.9612
flowers,classification,72,72,1.0000,0.000000,0.9493,1.0000
flowers,features,72,72,1.0000,0.000000,0.9493,1.0000
flowers,nle,72,72,1.0000,0.000000,0.9493,1.0000
flowers,rulebased,72,72,1.0000,0.000000,0.9493,1.0000
pets,axioms_ontology_v2,61,72,0.8472,0.042400,0.7468,0.9125
pets,classification,68,72,0.9444,0.026995,0.8657,0.9782
pets,features,66,72,0.9167,0.032572,0.8299,0.9612
pets,nle,66,72,0.9167,0.032572,0.8299,0.9612
pets,rulebased,64,72,0.8889,0.037037,0.7958,0.9426
