dataset,prompt_type,model,total_correct,total_trials,total_errors,overall_accuracy,total_duration_seconds,avg_trial_wall_seconds,avg_trial_api_seconds,system_fallback_count
flowers,classification,qwen/qwen3-vl-8b-instruct,72,72,0,1.0000,226.8258,2.7146,1.7318,0
flowers,nle,qwen/qwen3-vl-8b-instruct,72,72,0,1.0000,268.7070,3.2577,2.2208,0
flowers,features,qwen/qwen3-vl-8b-instruct,72,72,0,1.0000,190.7128,2.2086,1.2551,0
flowers,rulebased,qwen/qwen3-vl-8b-instruct,72,72,0,1.0000,345.3572,4.3751,3.4551,0
flowers,axioms_ontology_v2,qwen/qwen3-vl-8b-instruct,66,72,0,0.9167,316.4197,3.9548,2.9727,0
pets,classification,qwen/qwen3-vl-8b-instruct,68,72,0,0.9444,208.6131,2.4560,1.5313,0
pets,nle,qwen/qwen3-vl-8b-instruct,66,72,0,0.9167,297.2931,3.7106,2.7721,0
pets,features,qwen/qwen3-vl-8b-instruct,66,72,0,0.9167,199.2963,2.3307,1.3746,0
pets,rulebased,qwen/qwen3-vl-8b-instruct,64,72,0,0.8889,322.2450,4.0371,3.1023,0
pets,axioms_ontology_v2,qwen/qwen3-vl-8b-instruct,61,72,0,0.8472,285.0545,3.5502,2.6366,0
cifar10,classification,qwen/qwen3-vl-8b-instruct,69,72,0,0.9583,99.2759,1.2426,1.0382,0
cifar10,nle,qwen/qwen3-vl-8b-instruct,67,72,0,0.9306,176.1571,2.3011,2.1006,0
cifar10,features,qwen/qwen3-vl-8b-instruct,68,72,0,0.9444,109.7764,1.3828,1.1671,0
cifar10,rulebased,qwen/qwen3-vl-8b-instruct,67,72,0,0.9306,257.0010,3.4401,3.2422,0
cifar10,axioms_ontology_v2,qwen/qwen3-vl-8b-instruct,59,72,0,0.8194,204.0094,2.6871,2.4785,0
dtd,classification,qwen/qwen3-vl-8b-instruct,65,72,0,0.9028,208.7651,2.4742,1.5580,0
dtd,nle,qwen/qwen3-vl-8b-instruct,62,72,0,0.8611,253.9436,3.1165,2.2094,0
dtd,features,qwen/qwen3-vl-8b-instruct,64,72,0,0.8889,197.8496,2.3275,1.3763,0
dtd,rulebased,qwen/qwen3-vl-8b-instruct,63,72,0,0.8750,331.1527,4.1456,3.1861,0
dtd,axioms_ontology_v2,qwen/qwen3-vl-8b-instruct,53,72,0,0.7361,272.7386,3.3396,2.4205,0
