dataset,prompt_type,model,config_n,config_k,config_q,run_id,correct,total,errors,accuracy,run_duration_seconds,avg_trial_wall_seconds,avg_trial_api_seconds,system_fallback_count,artifact_dir
flowers,classification,qwen/qwen3-vl-8b-instruct,2,1,1,0,2,2,0,1.0000,5.3166,2.6476,2.3308,0,datasets/flowers/classification/N2_K1_Q1/run_0
flowers,classification,qwen/qwen3-vl-8b-instruct,2,1,1,1,2,2,0,1.0000,5.3849,2.6856,2.4455,0,datasets/flowers/classification/N2_K1_Q1/run_1
flowers,classification,qwen/qwen3-vl-8b-instruct,2,1,1,2,2,2,0,1.0000,3.5513,1.7716,1.4206,0,datasets/flowers/classification/N2_K1_Q1/run_2
flowers,classification,qwen/qwen3-vl-8b-instruct,2,1,1,3,2,2,0,1.0000,3.9590,1.9780,1.6616,0,datasets/flowers/classification/N2_K1_Q1/run_3
flowers,classification,qwen/qwen3-vl-8b-instruct,2,1,1,4,2,2,0,1.0000,3.3109,1.6511,1.3799,0,datasets/flowers/classification/N2_K1_Q1/run_4
flowers,classification,qwen/qwen3-vl-8b-instruct,2,1,1,5,2,2,0,1.0000,3.8331,1.9149,1.5608,0,datasets/flowers/classification/N2_K1_Q1/run_5
flowers,classification,qwen/qwen3-vl-8b-instruct,2,5,1,0,2,2,0,1.0000,6.4020,3.1956,2.1764,0,datasets/flowers/classification/N2_K5_Q1/run_0
flowers,classification,qwen/qwen3-vl-8b-instruct,2,5,1,1,2,2,0,1.0000,7.3267,3.6586,2.5461,0,datasets/flowers/classification/N2_K5_Q1/run_1
flowers,classification,qwen/qwen3-vl-8b-instruct,2,5,1,2,2,2,0,1.0000,6.1905,3.0930,2.0490,0,datasets/flowers/classification/N2_K5_Q1/run_2
flowers,classification,qwen/qwen3-vl-8b-instruct,2,5,1,3,2,2,0,1.0000,7.3562,3.6749,2.6742,0,datasets/flowers/classification/N2_K5_Q1/run_3
flowers,classification,qwen/qwen3-vl-8b-instruct,2,5,1,4,2,2,0,1.0000,8.0319,4.0078,2.8879,0,datasets/flowers/classification/N2_K5_Q1/run_4
flowers,classification,qwen/qwen3-vl-8b-instruct,2,5,1,5,2,2,0,1.0000,6.0007,2.9975,1.9641,0,datasets/flowers/classification/N2_K5_Q1/run_5
flowers,classification,qwen/qwen3-vl-8b-instruct,3,1,1,0,3,3,0,1.0000,4.0728,1.3537,0.9690,0,datasets/flowers/classification/N3_K1_Q1/run_0
flowers,classification,qwen/qwen3-vl-8b-instruct,3,1,1,1,3,3,0,1.0000,4.5397,1.5117,1.0409,0,datasets/flowers/classification/N3_K1_Q1/run_1
flowers,classification,qwen/qwen3-vl-8b-instruct,3,1,1,2,3,3,0,1.0000,3.9063,1.3006,0.8875,0,datasets/flowers/classification/N3_K1_Q1/run_2
flowers,classification,qwen/qwen3-vl-8b-instruct,3,1,1,3,3,3,0,1.0000,3.8010,1.2657,0.8597,0,datasets/flowers/classification/N3_K1_Q1/run_3
flowers,classification,qwen/qwen3-vl-8b-instruct,3,5,1,0,3,3,0,1.0000,9.8016,3.2641,1.5641,0,datasets/flowers/classification/N3_K5_Q1/run_0
flowers,classification,qwen/qwen3-vl-8b-instruct,3,5,1,1,3,3,0,1.0000,9.2759,3.0890,1.6155,0,datasets/flowers/classification/N3_K5_Q1/run_1
flowers,classification,qwen/qwen3-vl-8b-instruct,3,5,1,2,3,3,0,1.0000,12.9521,4.3155,2.7232,0,datasets/flowers/classification/N3_K5_Q1/run_2
flowers,classification,qwen/qwen3-vl-8b-instruct,3,5,1,3,3,3,0,1.0000,11.3784,3.7906,2.0813,0,datasets/flowers/classification/N3_K5_Q1/run_3
flowers,classification,qwen/qwen3-vl-8b-instruct,4,1,1,0,4,4,0,1.0000,5.5631,1.3858,0.9991,0,datasets/flowers/classification/N4_K1_Q1/run_0
flowers,classification,qwen/qwen3-vl-8b-instruct,4,1,1,1,4,4,0,1.0000,5.7341,1.4296,0.9713,0,datasets/flowers/classification/N4_K1_Q1/run_1
flowers,classification,qwen/qwen3-vl-8b-instruct,4,1,1,2,4,4,0,1.0000,5.9536,1.4594,1.0453,0,datasets/flowers/classification/N4_K1_Q1/run_2
flowers,classification,qwen/qwen3-vl-8b-instruct,4,5,1,0,4,4,0,1.0000,16.6939,4.1684,2.1137,0,datasets/flowers/classification/N4_K5_Q1/run_0
flowers,classification,qwen/qwen3-vl-8b-instruct,4,5,1,1,4,4,0,1.0000,18.7687,4.6903,2.4494,0,datasets/flowers/classification/N4_K5_Q1/run_1
flowers,classification,qwen/qwen3-vl-8b-instruct,4,5,1,2,4,4,0,1.0000,16.6990,4.1728,2.2392,0,datasets/flowers/classification/N4_K5_Q1/run_2
flowers,nle,qwen/qwen3-vl-8b-instruct,2,1,1,0,2,2,0,1.0000,3.8191,1.9005,1.6197,0,datasets/flowers/nle/N2_K1_Q1/run_0
flowers,nle,qwen/qwen3-vl-8b-instruct,2,1,1,1,2,2,0,1.0000,5.1954,2.5928,2.3226,0,datasets/flowers/nle/N2_K1_Q1/run_1
flowers,nle,qwen/qwen3-vl-8b-instruct,2,1,1,2,2,2,0,1.0000,4.3018,2.1467,1.8624,0,datasets/flowers/nle/N2_K1_Q1/run_2
flowers,nle,qwen/qwen3-vl-8b-instruct,2,1,1,3,2,2,0,1.0000,4.3711,2.1651,1.8847,0,datasets/flowers/nle/N2_K1_Q1/run_3
flowers,nle,qwen/qwen3-vl-8b-instruct,2,1,1,4,2,2,0,1.0000,4.7765,2.3840,2.0940,0,datasets/flowers/nle/N2_K1_Q1/run_4
flowers,nle,qwen/qwen3-vl-8b-instruct,2,1,1,5,2,2,0,1.0000,4.7868,2.3901,2.1416,0,datasets/flowers/nle/N2_K1_Q1/run_5
flowers,nle,qwen/qwen3-vl-8b-instruct,2,5,1,0,2,2,0,1.0000,7.3183,3.6543,2.5737,0,datasets/flowers/nle/N2_K5_Q1/run_0
flowers,nle,qwen/qwen3-vl-8b-instruct,2,5,1,1,2,2,0,1.0000,9.0869,4.5388,3.4769,0,datasets/flowers/nle/N2_K5_Q1/run_1
flowers,nle,qwen/qwen3-vl-8b-instruct,2,5,1,2,2,2,0,1.0000,7.1739,3.5844,2.4513,0,datasets/flowers/nle/N2_K5_Q1/run_2
flowers,nle,qwen/qwen3-vl-8b-instruct,2,5,1,3,2,2,0,1.0000,7.3206,3.6554,2.4337,0,datasets/flowers/nle/N2_K5_Q1/run_3
flowers,nle,qwen/qwen3-vl-8b-instruct,2,5,1,4,2,2,0,1.0000,6.9764,3.4780,2.4163,0,datasets/flowers/nle/N2_K5_Q1/run_4
flowers,nle,qwen/qwen3-vl-8b-instruct,2,5,1,5,2,2,0,1.0000,7.4827,3.7325,2.8012,0,datasets/flowers/nle/N2_K5_Q1/run_5
flowers,nle,qwen/qwen3-vl-8b-instruct,3,1,1,0,3,3,0,1.0000,6.5679,2.1856,1.8140,0,datasets/flowers/nle/N3_K1_Q1/run_0
flowers,nle,qwen/qwen3-vl-8b-instruct,3,1,1,1,3,3,0,1.0000,6.2298,2.0747,1.7460,0,datasets/flowers/nle/N3_K1_Q1/run_1
flowers,nle,qwen/qwen3-vl-8b-instruct,3,1,1,2,3,3,0,1.0000,7.1568,2.3813,1.9853,0,datasets/flowers/nle/N3_K1_Q1/run_2
flowers,nle,qwen/qwen3-vl-8b-instruct,3,1,1,3,3,3,0,1.0000,10.4145,3.4682,2.9991,0,datasets/flowers/nle/N3_K1_Q1/run_3
flowers,nle,qwen/qwen3-vl-8b-instruct,3,5,1,0,3,3,0,1.0000,12.0769,4.0212,2.2988,0,datasets/flowers/nle/N3_K5_Q1/run_0
flowers,nle,qwen/qwen3-vl-8b-instruct,3,5,1,1,3,3,0,1.0000,11.0576,3.6794,1.8752,0,datasets/flowers/nle/N3_K5_Q1/run_1
flowers,nle,qwen/qwen3-vl-8b-instruct,3,5,1,2,3,3,0,1.0000,12.5553,4.1808,2.2473,0,datasets/flowers/nle/N3_K5_Q1/run_2
flowers,nle,qwen/qwen3-vl-8b-instruct,3,5,1,3,3,3,0,1.0000,11.9959,3.9951,2.1112,0,datasets/flowers/nle/N3_K5_Q1/run_3
flowers,nle,qwen/qwen3-vl-8b-instruct,4,1,1,0,4,4,0,1.0000,9.0637,2.2633,1.6606,0,datasets/flowers/nle/N4_K1_Q1/run_0
flowers,nle,qwen/qwen3-vl-8b-instruct,4,1,1,1,4,4,0,1.0000,9.9620,2.4885,1.8988,0,datasets/flowers/nle/N4_K1_Q1/run_1
flowers,nle,qwen/qwen3-vl-8b-instruct,4,1,1,2,4,4,0,1.0000,8.0895,2.0209,1.5701,0,datasets/flowers/nle/N4_K1_Q1/run_2
flowers,nle,qwen/qwen3-vl-8b-instruct,4,5,1,0,4,4,0,1.0000,19.3490,4.8299,2.7066,0,datasets/flowers/nle/N4_K5_Q1/run_0
flowers,nle,qwen/qwen3-vl-8b-instruct,4,5,1,1,4,4,0,1.0000,17.0292,4.2545,2.1659,0,datasets/flowers/nle/N4_K5_Q1/run_1
flowers,nle,qwen/qwen3-vl-8b-instruct,4,5,1,2,4,4,0,1.0000,20.7341,5.1803,3.1252,0,datasets/flowers/nle/N4_K5_Q1/run_2
