dataset,prompt_type,model,config_n,config_k,config_q,run_id,correct,total,errors,accuracy,run_duration_seconds,avg_trial_wall_seconds,avg_trial_api_seconds,system_fallback_count,artifact_dir
flowers,classification,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,0,0,2,0,0.0000,1.9357,0.9404,0.7787,0,datasets/flowers/classification/N2_K1_Q1/run_0
flowers,classification,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,1,0,2,0,0.0000,1.7460,0.8614,0.8082,0,datasets/flowers/classification/N2_K1_Q1/run_1
flowers,nle,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,0,0,2,0,0.0000,1.3093,0.6360,0.5510,0,datasets/flowers/nle/N2_K1_Q1/run_0
flowers,nle,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,1,0,2,0,0.0000,1.2184,0.5918,0.5095,0,datasets/flowers/nle/N2_K1_Q1/run_1
flowers,features,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,0,0,2,0,0.0000,1.1617,0.5700,0.5009,0,datasets/flowers/features/N2_K1_Q1/run_0
flowers,features,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,1,0,2,0,0.0000,0.8761,0.4297,0.3640,0,datasets/flowers/features/N2_K1_Q1/run_1
flowers,rulebased,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,0,0,2,0,0.0000,1.1520,0.5642,0.5100,0,datasets/flowers/rulebased/N2_K1_Q1/run_0
flowers,rulebased,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,1,0,2,0,0.0000,0.9396,0.4585,0.3757,0,datasets/flowers/rulebased/N2_K1_Q1/run_1
flowers,axioms_ontology_v2,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,0,0,2,0,0.0000,0.9370,0.4500,0.3710,0,datasets/flowers/axioms_ontology_v2/N2_K1_Q1/run_0
flowers,axioms_ontology_v2,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,1,0,2,0,0.0000,1.2054,0.5919,0.5698,0,datasets/flowers/axioms_ontology_v2/N2_K1_Q1/run_1
