dataset,prompt_type,model,config_n,config_k,config_q,run_id,correct,total,errors,accuracy,run_duration_seconds,avg_trial_wall_seconds,avg_trial_api_seconds,system_fallback_count,artifact_dir
flowers,classification,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,0,0,2,0,0.0000,1.2637,0.6162,0.5037,0,datasets/flowers/classification/N2_K1_Q1/run_0
flowers,classification,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,1,0,2,0,0.0000,1.3686,0.6735,0.5380,0,datasets/flowers/classification/N2_K1_Q1/run_1
flowers,nle,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,0,0,2,0,0.0000,0.9318,0.4517,0.4045,0,datasets/flowers/nle/N2_K1_Q1/run_0
flowers,nle,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,1,0,2,0,0.0000,0.9190,0.4473,0.3905,0,datasets/flowers/nle/N2_K1_Q1/run_1
flowers,features,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,0,0,2,0,0.0000,1.1592,0.5634,0.4153,0,datasets/flowers/features/N2_K1_Q1/run_0
flowers,features,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,1,0,2,0,0.0000,0.9678,0.4751,0.3959,0,datasets/flowers/features/N2_K1_Q1/run_1
flowers,rulebased,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,0,0,2,0,0.0000,1.2144,0.5894,0.4129,0,datasets/flowers/rulebased/N2_K1_Q1/run_0
flowers,rulebased,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,1,0,2,0,0.0000,1.1991,0.5869,0.4019,0,datasets/flowers/rulebased/N2_K1_Q1/run_1
flowers,axioms_ontology_v2,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,0,0,2,0,0.0000,1.1824,0.5657,0.4468,0,datasets/flowers/axioms_ontology_v2/N2_K1_Q1/run_0
flowers,axioms_ontology_v2,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,1,0,2,0,0.0000,1.3650,0.6759,0.4480,0,datasets/flowers/axioms_ontology_v2/N2_K1_Q1/run_1
