dataset,prompt_type,model,config_n,config_k,config_q,run_id,correct,total,errors,accuracy,run_duration_seconds,avg_trial_wall_seconds,avg_trial_api_seconds,system_fallback_count,artifact_dir
flowers,classification,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,0,0,2,0,0.0000,1.2637,0.6162,0.5037,0,models/meta-llama-llama-3.2-11b-vision-instruct/datasets/flowers/classification/N2_K1_Q1/run_0
flowers,classification,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,1,0,2,0,0.0000,1.3686,0.6735,0.5380,0,models/meta-llama-llama-3.2-11b-vision-instruct/datasets/flowers/classification/N2_K1_Q1/run_1
flowers,nle,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,0,0,2,0,0.0000,0.9318,0.4517,0.4045,0,models/meta-llama-llama-3.2-11b-vision-instruct/datasets/flowers/nle/N2_K1_Q1/run_0
flowers,nle,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,1,0,2,0,0.0000,0.9190,0.4473,0.3905,0,models/meta-llama-llama-3.2-11b-vision-instruct/datasets/flowers/nle/N2_K1_Q1/run_1
flowers,features,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,0,0,2,0,0.0000,1.1592,0.5634,0.4153,0,models/meta-llama-llama-3.2-11b-vision-instruct/datasets/flowers/features/N2_K1_Q1/run_0
flowers,features,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,1,0,2,0,0.0000,0.9678,0.4751,0.3959,0,models/meta-llama-llama-3.2-11b-vision-instruct/datasets/flowers/features/N2_K1_Q1/run_1
flowers,rulebased,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,0,0,2,0,0.0000,1.2144,0.5894,0.4129,0,models/meta-llama-llama-3.2-11b-vision-instruct/datasets/flowers/rulebased/N2_K1_Q1/run_0
flowers,rulebased,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,1,0,2,0,0.0000,1.1991,0.5869,0.4019,0,models/meta-llama-llama-3.2-11b-vision-instruct/datasets/flowers/rulebased/N2_K1_Q1/run_1
flowers,axioms_ontology_v2,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,0,0,2,0,0.0000,1.1824,0.5657,0.4468,0,models/meta-llama-llama-3.2-11b-vision-instruct/datasets/flowers/axioms_ontology_v2/N2_K1_Q1/run_0
flowers,axioms_ontology_v2,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,1,0,2,0,0.0000,1.3650,0.6759,0.4480,0,models/meta-llama-llama-3.2-11b-vision-instruct/datasets/flowers/axioms_ontology_v2/N2_K1_Q1/run_1
flowers,classification,google/gemma-4-26b-a4b-it,2,1,1,0,2,2,0,1.0000,4.3997,2.1648,2.0789,0,models/google-gemma-4-26b-a4b-it/datasets/flowers/classification/N2_K1_Q1/run_0
flowers,classification,google/gemma-4-26b-a4b-it,2,1,1,1,2,2,0,1.0000,2.5148,1.2468,1.0716,0,models/google-gemma-4-26b-a4b-it/datasets/flowers/classification/N2_K1_Q1/run_1
flowers,nle,google/gemma-4-26b-a4b-it,2,1,1,0,2,2,0,1.0000,3.3879,1.6840,1.6252,0,models/google-gemma-4-26b-a4b-it/datasets/flowers/nle/N2_K1_Q1/run_0
flowers,nle,google/gemma-4-26b-a4b-it,2,1,1,1,2,2,0,1.0000,3.5316,1.7548,1.6747,0,models/google-gemma-4-26b-a4b-it/datasets/flowers/nle/N2_K1_Q1/run_1
flowers,features,google/gemma-4-26b-a4b-it,2,1,1,0,2,2,0,1.0000,3.6619,1.7727,1.6067,0,models/google-gemma-4-26b-a4b-it/datasets/flowers/features/N2_K1_Q1/run_0
flowers,features,google/gemma-4-26b-a4b-it,2,1,1,1,2,2,0,1.0000,2.5960,1.2671,1.1395,0,models/google-gemma-4-26b-a4b-it/datasets/flowers/features/N2_K1_Q1/run_1
flowers,rulebased,google/gemma-4-26b-a4b-it,2,1,1,0,2,2,0,1.0000,8.0178,3.9654,3.8074,0,models/google-gemma-4-26b-a4b-it/datasets/flowers/rulebased/N2_K1_Q1/run_0
flowers,rulebased,google/gemma-4-26b-a4b-it,2,1,1,1,2,2,0,1.0000,7.8351,3.8897,3.8207,0,models/google-gemma-4-26b-a4b-it/datasets/flowers/rulebased/N2_K1_Q1/run_1
flowers,axioms_ontology_v2,google/gemma-4-26b-a4b-it,2,1,1,0,2,2,0,1.0000,9.8226,4.8649,4.7700,0,models/google-gemma-4-26b-a4b-it/datasets/flowers/axioms_ontology_v2/N2_K1_Q1/run_0
flowers,axioms_ontology_v2,google/gemma-4-26b-a4b-it,2,1,1,1,2,2,0,1.0000,19.8941,9.9182,9.8138,0,models/google-gemma-4-26b-a4b-it/datasets/flowers/axioms_ontology_v2/N2_K1_Q1/run_1
