dataset,prompt_type,model,config_n,config_k,config_q,run_id,correct,total,errors,accuracy,run_duration_seconds,avg_trial_wall_seconds,avg_trial_api_seconds,system_fallback_count,artifact_dir
flowers,classification,meta-llama/llama-4-scout,2,1,1,0,2,2,0,1.0000,1.6494,0.7374,0.6178,0,datasets/flowers/classification/N2_K1_Q1/run_0
flowers,classification,meta-llama/llama-4-scout,2,1,1,1,2,2,0,1.0000,2.4573,1.1770,1.0838,0,datasets/flowers/classification/N2_K1_Q1/run_1
flowers,nle,meta-llama/llama-4-scout,2,1,1,0,2,2,0,1.0000,6.3187,3.1199,3.0256,0,datasets/flowers/nle/N2_K1_Q1/run_0
flowers,nle,meta-llama/llama-4-scout,2,1,1,1,2,2,0,1.0000,3.8083,1.8929,1.7819,0,datasets/flowers/nle/N2_K1_Q1/run_1
flowers,features,meta-llama/llama-4-scout,2,1,1,0,2,2,0,1.0000,2.2469,1.1092,0.9675,0,datasets/flowers/features/N2_K1_Q1/run_0
flowers,features,meta-llama/llama-4-scout,2,1,1,1,2,2,0,1.0000,2.5769,1.2779,1.1857,0,datasets/flowers/features/N2_K1_Q1/run_1
flowers,rulebased,meta-llama/llama-4-scout,2,1,1,0,2,2,0,1.0000,18.2660,9.1224,9.0522,0,datasets/flowers/rulebased/N2_K1_Q1/run_0
flowers,rulebased,meta-llama/llama-4-scout,2,1,1,1,2,2,0,1.0000,1.6736,0.8270,0.6821,0,datasets/flowers/rulebased/N2_K1_Q1/run_1
flowers,axioms_ontology_v2,meta-llama/llama-4-scout,2,1,1,0,2,2,0,1.0000,2.1614,1.0673,0.8624,0,datasets/flowers/axioms_ontology_v2/N2_K1_Q1/run_0
flowers,axioms_ontology_v2,meta-llama/llama-4-scout,2,1,1,1,2,2,0,1.0000,1.9120,0.9456,0.7705,0,datasets/flowers/axioms_ontology_v2/N2_K1_Q1/run_1
