dataset,prompt_type,model,config_n,config_k,config_q,run_id,correct,total,errors,accuracy,run_duration_seconds,avg_trial_wall_seconds,avg_trial_api_seconds,system_fallback_count,artifact_dir
pets,classification,qwen/qwen3.5-9b,2,1,1,0,2,2,0,1.0000,13.4773,6.7310,6.5309,0,datasets/pets/classification/N2_K1_Q1/run_0
pets,classification,qwen/qwen3.5-9b,2,1,1,1,2,2,0,1.0000,78.8849,39.4264,39.2381,0,datasets/pets/classification/N2_K1_Q1/run_1
pets,nle,qwen/qwen3.5-9b,2,1,1,0,2,2,0,1.0000,58.9091,29.4516,29.2288,0,datasets/pets/nle/N2_K1_Q1/run_0
pets,nle,qwen/qwen3.5-9b,2,1,1,1,2,2,0,1.0000,58.4114,29.1883,29.0920,0,datasets/pets/nle/N2_K1_Q1/run_1
pets,features,qwen/qwen3.5-9b,2,1,1,0,2,2,0,1.0000,28.7842,14.3874,14.2074,0,datasets/pets/features/N2_K1_Q1/run_0
pets,features,qwen/qwen3.5-9b,2,1,1,1,2,2,0,1.0000,15.5694,7.7828,7.5804,0,datasets/pets/features/N2_K1_Q1/run_1
pets,rulebased,qwen/qwen3.5-9b,2,1,1,0,2,2,0,1.0000,13.1854,6.5805,6.3620,0,datasets/pets/rulebased/N2_K1_Q1/run_0
pets,rulebased,qwen/qwen3.5-9b,2,1,1,1,2,2,0,1.0000,28.5334,14.2642,14.0455,0,datasets/pets/rulebased/N2_K1_Q1/run_1
pets,axioms_ontology_v2,qwen/qwen3.5-9b,2,1,1,0,2,2,0,1.0000,31.1855,15.5640,15.4045,0,datasets/pets/axioms_ontology_v2/N2_K1_Q1/run_0
pets,axioms_ontology_v2,qwen/qwen3.5-9b,2,1,1,1,2,2,0,1.0000,37.1580,18.5755,18.2729,0,datasets/pets/axioms_ontology_v2/N2_K1_Q1/run_1
